Median_Index,Smoothed_Voltage
18874,-8041.992188
18924,-8041.992188
18974,-8041.992188
19024,-8041.992188
19074,-8041.992188
19124,-8041.992188
19174,-8041.992188
19224,-8041.992188
19274,-8041.992188
19324,-8041.992188
19374,-8041.992188
19424,-8041.992188
19474,-8041.992188
19524,-8041.992188
19574,-8041.992188
19624,-8041.992188
19724,-8037.109375
19774,-8037.109375
19824,-8037.109375
19874,-8037.109375
19924,-8037.109375
19974,-8037.109375
20024,-8037.109375
20074,-8037.109375
20124,-8037.109375
20174,-8037.109375
20224,-8037.109375
20274,-8037.109375
20324,-8037.109375
20374,-8037.109375
20424,-8037.109375
20474,-8037.109375
20524,-8037.109375
20574,-8037.109375
20624,-8037.109375
20674,-8037.109375
20724,-8037.109375
20774,-8037.109375
20824,-8037.109375
20874,-8037.109375
20924,-8037.109375
20974,-8037.109375
21024,-8037.109375
21074,-8037.109375
21124,-8037.109375
21174,-8037.109375
21224,-8037.109375
21274,-8037.109375
21324,-8037.109375
21374,-8037.109375
21424,-8037.109375
21474,-8037.109375
21524,-8037.109375
21574,-8037.109375
21624,-8037.109375
21674,-8037.109375
21774,-8032.226562
21824,-8032.226562
21874,-8032.226562
21924,-8032.226562
21974,-8032.226562
22024,-8032.226562
22074,-8032.226562
22124,-8032.226562
22174,-8032.226562
22224,-8032.226562
22274,-8032.226562
22374,-8027.34375
22424,-8027.34375
22474,-8027.34375
22524,-8027.34375
22574,-8027.34375
22624,-8027.34375
22674,-8027.34375
22724,-8027.34375
22774,-8027.34375
22824,-8027.34375
22924,-8022.460938
22974,-8022.460938
23024,-8022.460938
23074,-8022.460938
23124,-8022.460938
23174,-8022.460938
23224,-8022.460938
23274,-8022.460938
23324,-8022.460938
23374,-8022.460938
23424,-8022.460938
23474,-8022.460938
23524,-8022.460938
23574,-8022.460938
23624,-8022.460938
23674,-8022.460938
23724,-8022.460938
23774,-8022.460938
23824,-8022.460938
23874,-8022.460938
23924,-8022.460938
24024,-8012.695312
24074,-8012.695312
24124,-8012.695312
24174,-8012.695312
24224,-8012.695312
24274,-8012.695312
24324,-8012.695312
24374,-8012.695312
24424,-8012.695312
24474,-8012.695312
24524,-8012.695312
24574,-8012.695312
